Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Fx,Fy,Fz,Mx,My,Mz,Extra 1,Extra 2
s,N,N,N,N,N,N,N,N,N,N,N,Nm,Nm,Nm,N,N
12.3,0.954873,18.554,20.3435,5.04739,2.6026,-3.16151,6.54264,12.1666,19.5089,25.3908,18.1503,-1.10792,-0.341642,1.47083,0,0
12.4,-0.773839,18.5497,19.6532,2.36239,2.62517,-2.72522,5.41622,10.6883,17.7758,22.0156,16.0045,-0.931765,-0.318675,1.62983,0,0
12.5,0.282179,17.0559,21.3676,7.44716,2.89775,-1.95694,4.30036,9.89402,17.3381,28.8148,15.1352,-0.76208,-0.31345,1.38211,0,0
12.6,0.177329,18.1958,18.0456,2.45874,2.49743,-2.85721,5.85011,10.9506,18.3731,20.5043,16.4409,-0.986727,-0.313653,1.50367,0,0
12.7,-0.485992,18.8349,19.7798,2.99944,2.81067,-2.63912,3.79257,9.28606,18.3489,22.7792,13.2502,-0.742157,-0.328298,1.61436,0,0
12.8,-0.192588,15.7683,17.6393,2.69154,2.5141,-2.46386,4.6681,8.65544,15.5757,20.3308,13.3738,-0.763214,-0.268959,1.36618,0,0
12.9,0.0349862,17.041,20.5557,4.82603,2.63443,-2.27465,6.51572,11.0713,17.076,25.3817,17.9468,-0.990569,-0.283941,1.44974,0,0
13,0.386592,19.351,19.7206,3.82941,2.77274,-2.82702,4.63562,10.8107,19.7376,23.55,15.3921,-0.891287,-0.353246,1.56719,0,0
13.1,0.415148,18.2622,18.6286,3.89666,2.83683,-2.46931,4.61491,10.7707,18.6773,22.5252,15.7532,-0.863543,-0.343859,1.46816,0,0
13.2,-0.3879,19.5027,18.8054,1.7492,2.74244,-3.04533,4.48663,10.1675,19.1148,20.5546,14.3512,-0.860027,-0.344058,1.65539,0,0
13.3,0.522831,16.7273,18.9496,4.69448,2.81786,-2.80119,5.64041,10.8825,17.2502,23.644,16.5395,-0.949106,-0.325833,1.35941,0,0
13.4,0.167847,16.4108,18.3254,4.00739,2.23988,-2.33307,5.75932,10.6386,16.5787,22.3328,16.3048,-0.948241,-0.283568,1.36351,0,0
13.5,-0.0429426,15.4148,19.1021,4.46548,2.0171,-2.80827,6.39866,10.6914,15.3718,23.5676,16.2989,-1.02817,-0.273543,1.32792,0,0
13.6,-0.822776,21.5831,23.385,4.99954,3.65437,-2.87323,3.71355,10.5353,20.7603,28.3845,15.03,-0.774395,-0.400481,1.8399,0,0
13.7,-1.12762,18.7405,21.1816,1.87007,2.68555,-3.01437,6.7712,11.1012,17.6129,23.0517,17.5436,-1.04657,-0.300898,1.72176,0,0
13.8,-0.0816345,20.2056,21.331,4.03628,2.99399,-2.28751,3.57666,9.18405,20.1239,25.3673,13.4672,-0.693118,-0.326667,1.68536,0,0
13.9,0.33929,15.9846,17.2462,3.02505,2.29242,-2.79988,5.54929,9.94797,16.3239,20.2713,14.9898,-0.920272,-0.284729,1.32624,0,0
